vendor_name,vendor_url,vendor_hg_url,vendor_company_count,vendor_six_month_change,vendor_product_count,products_of_vendor,product_url
"MuleSoft, Inc.",mulesoft.com,https://discovery.hgdata.com/collection/mulesoft-inc-products-services,"12,120",-,12,Mule ESB,https://discovery.hgdata.com/product/mule-esb
"MuleSoft, Inc.",mulesoft.com,https://discovery.hgdata.com/collection/mulesoft-inc-products-services,"12,120",-,12,Mule runtime engine,https://discovery.hgdata.com/product/mule-runtime-engine
"MuleSoft, Inc.",mulesoft.com,https://discovery.hgdata.com/collection/mulesoft-inc-products-services,"12,120",-,12,Mule runtime engine 3.5,https://discovery.hgdata.com/product/mule-runtime-engine-3-5
"MuleSoft, Inc.",mulesoft.com,https://discovery.hgdata.com/collection/mulesoft-inc-products-services,"12,120",-,12,Mule runtime engine 3.7,https://discovery.hgdata.com/product/mule-runtime-engine-3-7
"MuleSoft, Inc.",mulesoft.com,https://discovery.hgdata.com/collection/mulesoft-inc-products-services,"12,120",-,12,Mule runtime engine 3.8,https://discovery.hgdata.com/product/mule-runtime-engine-3-8
"MuleSoft, Inc.",mulesoft.com,https://discovery.hgdata.com/collection/mulesoft-inc-products-services,"12,120",-,12,Mule runtime engine 3.9,https://discovery.hgdata.com/product/mule-runtime-engine-3-9
"MuleSoft, Inc.",mulesoft.com,https://discovery.hgdata.com/collection/mulesoft-inc-products-services,"12,120",-,12,Mule runtime engine 4.1,https://discovery.hgdata.com/product/mule-runtime-engine-4-1
"MuleSoft, Inc.",mulesoft.com,https://discovery.hgdata.com/collection/mulesoft-inc-products-services,"12,120",-,12,Mule runtime engine 4.2,https://discovery.hgdata.com/product/mule-runtime-engine-4-2
"MuleSoft, Inc.",mulesoft.com,https://discovery.hgdata.com/collection/mulesoft-inc-products-services,"12,120",-,12,Mule runtime engine 4.3,https://discovery.hgdata.com/product/mule-runtime-engine-4-3
"MuleSoft, Inc.",mulesoft.com,https://discovery.hgdata.com/collection/mulesoft-inc-products-services,"12,120",-,12,MuleSoft,https://discovery.hgdata.com/product/mulesoft
"MuleSoft, Inc.",mulesoft.com,https://discovery.hgdata.com/collection/mulesoft-inc-products-services,"12,120",-,12,MuleSoft Anypoint,https://discovery.hgdata.com/product/mulesoft-anypoint
NCR Corporation,ncr.com,https://discovery.hgdata.com/collection/ncr-corporation-products-services,"9,775",-,9,Aloha POS,https://discovery.hgdata.com/product/aloha-pos
NCR Corporation,ncr.com,https://discovery.hgdata.com/collection/ncr-corporation-products-services,"9,775",-,9,Fractals,https://discovery.hgdata.com/product/fractals
NCR Corporation,ncr.com,https://discovery.hgdata.com/collection/ncr-corporation-products-services,"9,775",-,9,NCR Connected Payments,https://discovery.hgdata.com/product/ncr-connected-payments
NCR Corporation,ncr.com,https://discovery.hgdata.com/collection/ncr-corporation-products-services,"9,775",-,9,NCR Counterpoint,https://discovery.hgdata.com/product/ncr-counterpoint
