vendor_name,vendor_url,vendor_hg_url,vendor_company_count,vendor_six_month_change,vendor_product_count
Cerkl,cerkl.com,https://discovery.hgdata.com/collection/cerkl-products-services,78,-,1
"DataTorrent, Inc.",datatorrent.com,https://discovery.hgdata.com/collection/datatorrent-inc-products-services,80,-,1
"Agent Video Intelligence, Ltd.",agentvi.com,https://discovery.hgdata.com/collection/agent-video-intelligence-ltd-products-services,78,-,1
Acronis International GmbH,acronis.com,https://discovery.hgdata.com/collection/acronis-international-gmbh-products-services,"15,445",-,7
Ascent Solutions,ascenterp.com,https://discovery.hgdata.com/collection/ascent-solutions-products-services,52,-,1
"Contrast Security, Inc.",contrastsecurity.com,https://discovery.hgdata.com/collection/contrast-security-inc-products-services,158,-,2
"ThreatQuotient, Inc.",threatq.com,https://discovery.hgdata.com/collection/threatquotient-inc-products-services,102,-,1
"Act-On Software, Inc.",act-on.com,https://discovery.hgdata.com/collection/act-on-software-inc-products-services,"13,134",-,2
"Surgical Information Systems, LLC",sisfirst.com,https://discovery.hgdata.com/collection/surgical-information-systems-llc-products-services,"1,523",-,6
Netcall PLC,netcall.com,https://discovery.hgdata.com/collection/netcall-plc-products-services,74,-,1
"Visualutions, Inc.",visualutions.com,https://discovery.hgdata.com/collection/visualutions-inc-products-services,66,-,3
Sapo Technology JSC,sapo.vn,https://discovery.hgdata.com/collection/sapo-technology-jsc-products-services,74,-,1
Actian Corporation,actian.com,https://discovery.hgdata.com/collection/actian-corporation-products-services,"4,552",-,11
24SevenOffice Group AB,24sevenofficeus.com,https://discovery.hgdata.com/collection/24sevenoffice-group-ab-products-services,63,-,1
"Acumatica, Inc.",acumatica.com,https://discovery.hgdata.com/collection/acumatica-inc-products-services,"1,913",-,2
"Imprivata, Inc.",imprivata.com,https://discovery.hgdata.com/collection/imprivata-inc-products-services,"1,579",-,4
"Nutcache Technologies, Inc.",nutcache.com,https://discovery.hgdata.com/collection/nutcache-technologies-inc-products-services,34,-,1
"Adobe, Inc.",adobe.com,https://discovery.hgdata.com/collection/adobe-inc-products-services,"17,57,592",-,79
"Airbase, Inc.",airbase.com,https://discovery.hgdata.com/collection/airbase-inc-products-services,43,-,1
"CodeSignal, Inc.",codesignal.com,https://discovery.hgdata.com/collection/codesignal-inc-products-services,82,-,1
Paladin Data Corporation,paladinpointofsale.com,https://discovery.hgdata.com/collection/paladin-data-corporation-products-services,42,-,1
"ADP, Inc.",adp.com,https://discovery.hgdata.com/collection/adp-inc-products-services,"1,06,390",-,25
"Panopta, LLC",panopta.com,https://discovery.hgdata.com/collection/panopta-llc-products-services,75,-,1
ChargeOver,chargeover.com,https://discovery.hgdata.com/collection/chargeover-products-services,51,-,1
Cliengo,cliengo.com,https://discovery.hgdata.com/collection/cliengo-products-services,62,-,1
Ericsson AB,ericsson.com,https://discovery.hgdata.com/collection/ericsson-ab-products-services,"1,280",-,20
"Cezanne HR, Ltd.",cezannehr.com,https://discovery.hgdata.com/collection/cezanne-hr-ltd-products-services,54,-,1
IGEL Technology GmbH,igel.com,https://discovery.hgdata.com/collection/igel-technology-gmbh-products-services,"1,122",-,5
"Aiven, Ltd.",aiven.io,https://discovery.hgdata.com/collection/aiven-ltd-products-services,73,-,1
"ADTRAN, Inc.",adtran.com,https://discovery.hgdata.com/collection/adtran-inc-products-services,"4,715",-,7
Sharpr,sharpr.com,https://discovery.hgdata.com/collection/sharpr-products-services,69,-,1
"Thought Industries, Inc.",thoughtindustries.com,https://discovery.hgdata.com/collection/thought-industries-inc-products-services,64,-,1
"The Kildrummy Corporation, Ltd.",kildrummy.com,https://discovery.hgdata.com/collection/the-kildrummy-corporation-ltd-products-services,51,-,1
"Pipelinersales, Inc.",pipelinersales.com,https://discovery.hgdata.com/collection/pipelinersales-inc-products-services,78,-,1
"Agilent Technologies, Inc.",agilent.com,https://discovery.hgdata.com/collection/agilent-technologies-inc-products-services,"15,936",-,3
AGFA HealthCare N.V.,global.agfahealthcare.com,https://discovery.hgdata.com/collection/agfa-healthcare-n-v-products-services,"1,206",-,8
CRITICAL Manufacturing S.A.,criticalmanufacturing.com,https://discovery.hgdata.com/collection/critical-manufacturing-s-a-products-services,81,-,1
"PayProp, LLC",payprop.com,https://discovery.hgdata.com/collection/payprop-llc-products-services,69,-,1
"Harris Business Group, Inc.",harrisdata.com,https://discovery.hgdata.com/collection/harris-business-group-inc-products-services,174,-,2
"EPAY Systems, Inc.",epaysystems.com,https://discovery.hgdata.com/collection/epay-systems-inc-products-services,50,-,1
DataSense,3dstats.com,https://discovery.hgdata.com/collection/datasense-products-services,50,-,1
"Akamai Technologies, Inc.",akamai.com,https://discovery.hgdata.com/collection/akamai-technologies-inc-products-services,"1,15,258",-,27
"Zignal Labs, Inc.",zignallabs.com,https://discovery.hgdata.com/collection/zignal-labs-inc-products-services,46,-,1
"Serko, Ltd.",serko.com,https://discovery.hgdata.com/collection/serko-ltd-products-services,80,-,1
"Alibaba Group Holding, Ltd.",alibaba.com,https://discovery.hgdata.com/collection/alibaba-group-holding-ltd-products-services,"42,189",-,8
